type,name,label::English,required,default,relevant,appearance,constraint,constraint_message::English,label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
text,agricultural_production_other,"If other, Please specify",yes,,"selected(${agricultural_production}, 'other')",,,,ÛíÑ Ğáß: ____,,,,,,
select_multiple usage_prod_food,usage_prod_food,"If answer is not ""No"": Do you do this for income generation or for your household's own consumption?",yes,,"not(selected(${agricultural_production},'no'))",,"if(selected(${food_source},'own_production'),selected(.,'hh_own_prod'),count-selected(.)>0)","When one of food sources is ""own production"" the option ""household own consumption"" must be selected","ÅĞÇ ßÇä ÇáÌæÇÈ ãÎÊáİÇ Úä ""áÇ"": åá ÊŞæã ÈĞáß ãä ÃÌá ÊæİíÑ ãÕÏÑ  ÏÎá Ãã áÇÓÊåáÇß ÃÓÑÊß¿","ÚäÏãÇ íßæä ãÕÏÑ ãä ãÕÇÏÑ ÇáÛĞÇÁ ÅäÊÇÌ ÎÇÕ¡ ÇáÎíÇÑ ""áÇÓÊåáÇß ÇÓÑÊí"" ÖÑæÑí  ",,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
select_one yes_no_dk_dwta,access_land_sea,"If ""No"": Does your household currently have access to land or to the sea to engage in such activities?",yes,,"selected(${agricultural_production},'no')",quick,,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""áÇ"": åá Êãáß ÃÓÑÊß ÍÇáíğÇ ÅãßÇäíÉ ÇáæÕæá Åáì ÇáÃÑÖ Ãæ ÇáÈÍÑ ááãÔÇÑßÉ İí ãËá åĞå ÇáÃäÔØÉ¿",,,,,,
select_one yes_no_dk_dwta,engage_agriculture_prior2014,"If ""No"": Did your household engage in such activities prior to 2014 but had to give them up?",yes,,"selected(${agricultural_production},'no')",quick,,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""áÇ"": åá ÔÇÑßÊ ÃÓÑÊß İí ãËá åĞå ÇáÃäÔØÉ ŞÈá ÚÇã 2014 æáßä ßÇä ÚáíåÇ ÇáÊÎáí ÚäåÇ¿",,,,,,
select_multiple crops_grown,crops_grown,"If ""Yes, in crop farming or gardening"":
What are the main crops your household currently grows?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",,,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""äÚã ¡ İí ÒÑÇÚÉ ÇáãÍÇÕíá Ãæ ÇáÈÓÊäÉ"":
ãÇ åí ÇáãÍÇÕíá ÇáÑÆíÓíÉ ÇáÊí ÊäãæåÇ ÃÓÑÊß ÍÇáíÇ¿",,,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,crops_grown_other,"If other, Please specify",yes,,"selected(${crops_grown},'other')",,,,ÛíÑ Ğáß: ____,,,,,,
select_one nb_hectares_cultivated,nb_hectares_cultivated,"If ""Yes, in crop farming or gardening"":
How much land does your household cultivate in hectares?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",quick,,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""äÚã ¡ İí ÒÑÇÚÉ ÇáãÍÇÕíá Ãæ ÇáÈÓÊäÉ"":
ãÇ ãÓÇÍÉ ÇáÃÑÖ ÇáÊí ÊÒÑÚåÇ ÃÓÑÊß ÈÇáåßÊÇÑÇÊ¿",,,,,,
integer,nb_others_employed,"If ""Yes, in crop farming or gardening"":
How many individuals, if any, did your household employ to support production in the last 12 months, including seasonal workers?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",,. >=0,,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""äÚã ¡ İí ÒÑÇÚÉ ÇáãÍÇÕíá Ãæ ÇáÈÓÊäÉ"":
ßã ÚÏÏ ÇáÃİÑÇÏ ¡ Åä æÌÏ ¡ ÇáĞí ÇÓÊÎÏãÊåã ÃÓÑÊß áÏÚã ÇáÅäÊÇÌ İí ÇáÃÔåÑ ÇáÜ 12 ÇáãÇÖíÉ ¡ ÈãÇ İí Ğáß ÇáÚãÇá ÇáãæÓãííä¿",,,,"If none, enter 0",,
select_multiple crop_crisis,crop_crisis,"If ""Yes, in crop farming or gardening"":
How has the current crisis affected your crop production, if at all?",yes,,"selected(${agricultural_production},'yes_crop_farming_gardening')",,"not(selected(., 'crop_not_affected')) or count-selected(.) = 1","the option ""Production has not been negatively affected"" can't be selected with other options","ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ ""äÚã ¡ İí ÒÑÇÚÉ ÇáãÍÇÕíá Ãæ ÇáÈÓÊäÉ"":
ßíİ ÃËÑÊ ÇáÃÒãÉ ÇáÍÇáíÉ Úáì ÅäÊÇÌ ÇáãÍÇÕíá ¡ Çä ÇËÑÊ¿","áÇ íãßä ÊÍÏíÏ ÎíÇÑ ""ÇáÅäÊÇÌ áã íÊÃËÑ ÓáÈğÇ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,crop_crisis_other,"If other, Please specify",yes,,"selected(${crop_crisis}, 'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
begin_group,nb_animals,"If ""Yes, in raising livestock"":
How many of each type of animal does your household currently own?",yes,,"selected(${agricultural_production},'yes_raising_livestock')",field-list,,,"ÅĞÇ ""äÚã ¡ İí ÊÑÈíÉ ÇáãÇÔíÉ"": ßã ÚÏÏ ÃäæÇÚ ÇáÍíæÇäÇÊ ÇáÊí ÊãÊáßåÇ ÚÇÆáÊß ÍÇáíğÇ¿",,,,,,
integer,cows,1. Cows,yes,,,,. >=0,,1. ÇáÃÈŞÇÑ,,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
integer,donkeys_horses,2. Donkeys and horses,yes,,,,. >=0,,2. ÇáÍãíÑ æÇáÎíæá,,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
integer,sheep,3. Sheep,yes,,,,. >=0,,3. ÇáÃÛäÇã,,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
integer,goats,4. Goats,yes,,,,. >=0,,4. ÇáãÇÚÒ,,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
integer,poultry,5. Poultry,yes,,,,. >=0,,5. ÇáÏæÇÌä,,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
integer,camels,6. Camels,yes,,,,. >=0,,6. ÇáÌãÇá,,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
integer,other_animals,7. Other (please specify),yes,,,,. >=0,,7. ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,"If none, enter 0",ÅĞÇ áÇ ÔíÁ ÃÏÎá 0,
end_group,,,,,,,,,,,,,,,
text,nb_animals_other,"If other, Please specify",yes,,${other_animals} >0,,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_multiple livestock_crisis,livestock_crisis,"If ""Yes, in raising livestock"":
How has the current crisis affected your livestock activities, if at all?",yes,,"selected(${agricultural_production},'yes_raising_livestock')",,"not(selected(., 'livestock_not_affected')) or count-selected(.) = 1","the option ""Production has not been negatively affected"" can't be selected with other options","ÅĞÇ ""äÚã ¡ İí ÊÑÈíÉ ÇáãÇÔíÉ"":
ßíİ ÃËÑÊ ÇáÃÒãÉ ÇáÍÇáíÉ Úáì ÃäÔØÉ ÇáËÑæÉ ÇáÍíæÇäíÉ ¡ Çä ÇËÑÊ¿","áÇ íãßä ÊÍÏíÏ ÎíÇÑ ""ÇáÅäÊÇÌ áã íÊÃËÑ ÓáÈğÇ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,livestock_crisis_other,"If other, Please specify",yes,,"selected(${livestock_crisis}, 'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_one source_fish,source_fish,"If ""Yes, in fishing or fisheries"":
What is the main source of your production or catch?",yes,,"selected(${agricultural_production},'yes_fishing_fisheries')",quick,,,"ÅĞÇ ""äÚã ¡ İí ÇáÕíÏ 
ãÇ åæ ÇáãÕÏÑ ÇáÑÆíÓí ááÅäÊÇÌ Ãæ ÇáÕíÏ¿",,,,,,
text,source_fish_other,"If other, Please specify",yes,,"selected(${source_fish}, 'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_multiple fish_crisis,fish_crisis,"If ""Yes, in fishing or fisheries"":
How has the current crisis affected your fishing or fishery activities, if at all?",yes,,"selected(${agricultural_production},'yes_fishing_fisheries')",,"not(selected(., 'fisheries_not_affected')) or count-selected(.) = 1","the option ""Activities have not been negatively affected"" can't be selected with other options","ÅĞÇ ""äÚã ¡ İí ÇáÕíÏ Ãæ ÇáËÑæÉ ÇáÓãßíÉ ""
ßíİ ÃËÑÊ ÇáÃÒãÉ ÇáÍÇáíÉ Úáì ÇäÔØÉ ÇáÕíÏ  ÇáÎÇÕÉ Èß¡ Çä ÇËÑÊ¿","áÇ íãßä ÊÍÏíÏ ÎíÇÑ ""ÇáÃäÔØÉ ÇáÊí áã ÊÊÃËÑ ÓáÈğÇ"" ãÚ ÎíÇÑÇÊ ÃÎÑì",,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,fish_crisis_other,"If other, Please specify",yes,,"selected(${fish_crisis}, 'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,shelter,Shelter and NFI,yes,,,,,,ÇáãÃæì,,,,,,
select_multiple access_mobile_network,access_mobile_network,Which mobile networks does your household currently have access to?,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_access_mobile_network')) or count-selected(.) = 1",some options can't be selected with other options,ãÇ ÔÈßÇÊ ÇáãÍãæá ÇáÊí íãßä áÃÓÑÊß ÇáæÕæá ÅáíåÇ ÍÇáíğÇ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,Please only select networks that the household is currently able to access through a functioning SIM card or mobile device,íÑÌì ÊÍÏíÏ ÇáÔÈßÇÊ ÇáÊí íÓÊØíÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáæÕæá ÅáíåÇ ÍÇáíğÇ ãä ÎáÇá ÈØÇŞÉ SIM Ãæ ÌåÇÒ ÌæøÇá íÚãá,
text,access_mobile_network_other,"if other, please specify",yes,,"selected(${access_mobile_network},'other')",,,,ÍÏÏ Åä ßäÊ ÇÎÊÑÊ ÛíÑ Ğáß,,,,,,
select_one dwelling_type,dwelling_type,What type of shelter do you live in?,yes,,,quick,,,ãÇ åæ äæÚ ÇáãÓßä ÇáĞí ÊÚíÔ İíå¿,,,,,,
select_one occupancy_type,occupancy_type,How would you describe your household's occupancy status?,yes,,,quick,"if(selected(${dwelling_type},'public_space') or selected(${dwelling_type},'camp'), .!='rented_written_contract' and .!='rented_verbal_agreement' and .!='owned', count-selected(.)=1)","If public space or camp is selected above, the options ownership and renting cannot be selected ",ãÇ åí ØÈíÚÉ ÇáÅŞÇãÉ¿,ÅĞÇ ßÇä ÇáãÓßä åæ ãÎíã Ãæ İÖÇÁ ÚÇã İáÇ íãßä ÇÓÊãáÇßå Ãæ ÊÃÌíÑå.,,,,,
text,occupancy_type_other,Other:,,,"selected(${occupancy_type},'other')",,,,ÛíÑåÇ,,,,,,
begin_group,dwelling_roster,How many rooms in your household's shelter are:,yes,,,,,,ßã ÚÏÏ ÇáÛÑİ İí ãÃæì ÇáÃÓÑÉ İÇáÍÇáÇÊ ÇáÊÇáíÉ ,,,,,,
integer,damaged_room,1. Damaged?,yes,,,,. >=0,,ãÊÖÑÑÉ ,,,,,,
integer,undamaged_room,2. Undamaged?,yes,,,,. >=0,,ÛíÑ ãÊÖÑÑÉ ,,,,,,
integer,open_elements_room,"3. Open to the elements (e.g. broken or missing windows, holes in walls, etc.)?",yes,,,,. >=0,,"äæÇİĞ ãßÓæÑÉ Ãæ ãİŞæÏÉ ¡ ËŞæÈ İí ÇáÌÏÑÇä",,,,,,
end_group,,,,,,,,,,,,,,,
select_one damage_type,shelter_condition,Question for enumerator: How would you describe the overall condition of this household's shelter? Please refer to the reference pictures below.,yes,,,quick,,,"ÓÄÇá áÌÇãÚ ÇáÈíÇäÇÊ: ßíİ ÊÕİ ÇáÍÇáÉ ÇáÚÇãÉ áãÃæì åĞå ÇáÃÓÑÉ¿ íÑÌì ÇáÑÌæÚ Åáì ÇáÕæÑ ÇáãÑÌÚíÉ ÃÏäÇå. (ÇíÖÇÍ. ÇáãäÇÒá ÇáÊí ÊÖÑÑÊ İí ÇáãÇÖí æáßä Êã ÅÕáÇÍåÇ ÈÇáßÇãá íÌÈ Çä ÊÓÌá Úáì ÃäåÇ ""áÇ ÖÑÑ / ÖÑÑ áÇ íĞßÑ"".)",,,,"Shelters that were damaged in the past but have been fully repaired should be coded as ""No damage / negligible damage","íÌÈ ÇÚÊÈÇÑ ÇáãáÇÌÆ ÇáÊí ÊÖÑÑÊ İí ÇáãÇÖí æáßä Êã ÅÕáÇÍåÇ ÈÇáßÇãá ""áÇ ÖÑÑ / ÖÑÑ áÇ íĞßÑ",
select_one threat_eviction,threat_eviction,Has your household experienced eviction or the threat of eviction within the past 6 months?,yes,,,quick,,,åá ÊÚÑÖÊ (İí 6 ÃÔåÑÇáãÇÖíÉ) ááÅÎáÇÁ Ãæ ÇáÊåÏíÏ ÈÇáÅÎáÇÁ ŞÓÑÇ¿,,,,,,
select_multiple reason_eviction,eviction_reason,If yes: Why do you think your household was evicted / is being threatened with eviction?,yes,,"not(selected(${occupancy_type},'owned') or selected(${occupancy_type},'dk') or selected(${occupancy_type},'dwta')) and (selected(${threat_eviction},'yes_threat_eviction') or selected(${threat_eviction},'recently_evicted'))",,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,"ÅĞÇ ßÇä ÇáÌæÇÈ äÚã, áãÇĞÇ ÊÚÊŞÏ Ãäß ãåÏÏ ÈÇáÅÎáÇÁ / Êã ÅÎáÇÄß ãÄÎÑÇ¿",ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
text,eviction_reason_other,Other:,yes,,"selected(${eviction_reason},'other')",,,,ãÓÇÆá ÃÎÑì,,,,,,
select_one elec_source,first_electricity_source,What is the most common source of electricity used by your household? ,yes,,,quick,,,ãÇ åæ ÇáãÕÏÑ ÇáÃßËÑ ÔíæÚÇ ááßåÑÈÇÁ ÇáÊí ÊÓÊÎÏãåÇ ÃÓÑÊß¿,,,,,,
text,first_electricity_source_other,Other:,yes,,"selected(${first_electricity_source},'other')",,,,ÃÎÑì (ÍÏÏ),,,,,,
select_one elec_source,second_electricity_source,What is the second most common source of electricity used by your household? ,yes,,"not(selected(${first_electricity_source},'dk'))  or not(selected(${first_electricity_source},'dwta')) or not(selected(${first_electricity_source},'no_electricity'))",quick,. != ${first_electricity_source},Answer must be different than the first common source of electricity,ãÇ åæ ÇáãÕÏÑ ÇáËÇäí ÇáÃßËÑ ÔíæÚÇ ááßåÑÈÇÁ ÇáÊí ÊÓÊÎÏãåÇ ÃÓÑÊß¿,íÌÈ Ãä Êßæä ÇáÅÌÇÈÉ ãÎÊáİÉ Úä ÇáãÕÏÑ ÇáÃæá ááßåÑÈÇÁ,,,,,
text,second_electricity_source_other,Other:,yes,,"selected(${second_electricity_source},'other')",,,,ÃÎÑì (ÍÏÏ),,,,,,
integer,elec_cuts,"Over the past 7 days, for how many hours per day, on average, has your household experienced power outages from the main network?",yes,,,,. >=0 and . <=24,value between 0 and 24 hours,"ÎáÇá ÇáÃíÇã ÇáÓÈÚÉ ÇáãÇÖíÉ ¡ ãÇåæ ãÚÏá ÚÏÏ ÇáÓÇÚÇÊ ÇáíæãíÉ  ÇáÊí ÊÚÇäí İíåÇ ÃÓÑÊß ãä ÇäŞØÇÚ ÇáÊíÇÑ ÇáßåÑÈÇÆí ãä ÇáÔÈßÉ ÇáÑÆíÓíÉ¿",Èíä ÕİÑ æ 24 ÓÇÚÉ,,,Please include hours when the household has needed to run a generator due to a lack of electricity. ,íÑÌì ÅÏÑÇÌ ÓÇÚÇÊ ÚäÏãÇ Êßæä ÇáÃÓÑÉ ÈÍÇÌÉ Åáì ÊÔÛíá ãæáÏ ÈÓÈÈ äŞÕ ÇáßåÑÈÇÁ,
begin_group,access_fuel,"For each of the following types of fuel, is your household able to access sufficient fuel to meet its energy needs?",yes,,,,,,"áßá äæÚ ãä ÃäæÇÚ ÇáæŞæÏ ÇáÊÇáíÉ ¡ åá ÊÓÊØíÚ ÃÓÑÊß ÇáæÕæá Åáì ÇáæŞæÏ ÇáßÇİí áÊáÈíÉ ÇÍÊíÇÌÇÊåÇ ãä ÇáØÇŞÉ¿ ",,,,,,
select_one access_fuel,cooking_fuel,1. Cooking fuel,yes,,,quick,,, ÇáÛÇÒ ááØÈÎ,,,,,,
select_one access_fuel,vehicle_fuel,2. Vehicle fuel,yes,,,quick,,,æŞæÏ ÇáÓíÇÑÉ,,,,,,
select_one access_fuel,generator_fuel,3. Generator fuel,yes,,,quick,,,æŞæÏ ÇáãæáÏÇÊ,,,,,,
select_one access_fuel,heating_fuel,4. Heating fuel,yes,,,quick,,,æŞæÏ ÇáÊÏİÆÉ,,,,,,
end_group,,,,,,,,,,,,,,,
select_multiple access_heating,access_heating,Does your household have access to a functional heating system in your own shelter during the winter?,yes,,,,"not(selected(.,'no'))  and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,åá ÊÓÊØíÚ ÃÓÑÊß ÇáæÕæá Åáì äæÚ ãä ÇäæÇÚ ÇáÊÏİÆÉ İí ÇáãÃæì ÇáÎÇÕ Èßã ÎáÇá İÕá ÇáÔÊÇÁ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,education,Education,yes,,,,,,ÇáÊÚáíã  ,,,,,,
begin_group,children_education,school enrollement ,yes,,${nb_children_male}>0 or ${nb_children_female}>0 or ${nb_youth_male}>0 or ${nb_youth_female}>0,,,,,,,,,,
integer,nb_children_enrolled,How many school aged children (6-17) in your HH are enrolled in school? ,yes,0,,,.<=${calcul_nb_under18} and .>=0,The number specified here can't be higher than the number of persons under 18 in the household,ßã ÚÏÏ ÇáÃØİÇá İí Óä ÇáÏÑÇÓÉ  (ãä ÓÊÉ Åáì ÓÈÚ ÚÔ ÚÇãÇ ) İí Óßäß ãÓÌáæä İí ÇáãÏÑÓÉ¿,áÇ íãßä Ãä íßæä ÇáÚÏÏ ÇáãÍÏÏ åäÇ ÃÚáì ãä ÚÏÏ ÇáÃÔÎÇÕ Ïæä Óä 18 ÚÇãÇ İí ÇáÃÓÑÉ ,,,School-aged children = ages 6-17,Óä ÇáÏÑÇÓÉ: ãä ÓÊÉ Åáì ÓÈÚ ÚÔÑ ÚÇãÇ ,
integer,male_enroll,males,yes,0,,,(. <= ${nb_children_enrolled} and . <= (${nb_children_male} + ${nb_youth_male})),The number specified here can't be higher than the number of persons enrolled in the school,ÇáĞßæÑ,ÇáÑŞã ÇáãÍÏÏ åäÇ áÇ íãßä Ãä íßæä ÃÚáì ãä ÚÏÏ ÇáÃÔÎÇÕ ÇáãÓÌáíä İí ÇáãÏÑÓÉ,,,,,
integer,female_enroll,females,yes,0,,,. <= ${nb_children_enrolled} and . <= (${nb_children_female} + ${nb_youth_female}),The number specified here can't be higher than the number of persons enrolled in the school,ÇáÅäÇË,ÇáÑŞã ÇáãÍÏÏ åäÇ áÇ íãßä Ãä íßæä ÃÚáì ãä ÚÏÏ ÇáÃÔÎÇÕ ÇáãÓÌáíä İí ÇáãÏÑÓÉ,,,,,
integer,nb_children_attending,How many of them have regularly attended school during the 2017-2018 academic year? ,yes,0,,,.<=${nb_children_enrolled},The number specified here can't be higher than the number of persons under 18 in the household,ßã ãäåã æÇÖÈ Úáì ÇáĞåÇÈ Çáì ÇáãÏÑÓÉ ÈÇäÊÙÇã ÎáÇá ÇáÚÇã ÇáÏÑÇÓí 2017 - 2018¿,áÇ íãßä Ãä íßæä ÇáÚÏÏ ÇáãÍÏÏ åäÇ ÃÚáì ãä ÚÏÏ ÇáÃÔÎÇÕ Ïæä Óä 18 ÚÇãÇ İí ÇáÃÓÑÉ ,,,"""regularly"" attending school: children who did not miss  more than 25% of school days",ÊÚÑíİ ÇáĞåÇÈ ÇáãäÊÙã ááãÏÑÓÉ: ÇáÃØİÇá ÇáĞíä áã íİæÊæÇ ÃßËÑ ãä 25? ãä ÃíÇã ÇáÏÑÇÓÉ,
integer,male_attend,males,yes,0,,,.<=${male_enroll},The number specified here can't be higher than the number of male enrolled in the school,ÇáĞßæÑ,ÇáÑŞã ÇáãÍÏÏ åäÇ áÇ íãßä Ãä íßæä ÃÚáì ãä ÚÏÏ ÇáĞßæÑ ÇáãÓÌáíä İí ÇáãÏÑÓÉ,,,,,
integer,female_attend,females,yes,0,,,.<=${female_enroll},The number specified here can't be higher than the number of female enrolled in the school,ÇáÅäÇË,ÇáÑŞã ÇáãÍÏÏ åäÇ áÇ íãßä Ãä íßæä ÃÚáì ãä ÚÏÏ ÇáÅäÇË ÇáãÓÌáÇÊ İí ÇáãÏÑÓÉ,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calc_nb_children_enrolled,,yes,,,,,,,,,${male_enroll}+${female_enroll},,,
note,nb_children_enrolled_err,The sum of male and female children enrolled are different than the number entered above,yes,,${calc_nb_children_enrolled} != ${nb_children_enrolled},,,,ãÌãæÚ  ÇáĞßæÑ æÇáÅäÇË ÇáãÓÌáæä İí ÇáãÏÑÓÉ ãÎÊáİæä Úä ÇáÚÏÏ ÇáĞí Êã ÅÏÎÇáå ÃÚáÇå,,,,,,
calculate,calc_nb_children_attending,,yes,,,,,,,,,${male_attend}+${female_attend},,,
note,nb_children_attending_err,The sum of male and female children attending school are different than the number entered above,yes,,${calc_nb_children_attending} != ${nb_children_attending},,,,íÎÊáİ ÚÏÏ  ÇáĞßæÑ æÇáÅäÇË ÇáãáÊÍŞíä ÈÇáãÏÑÓÉ Úä ÇáÚÏÏ ÇáĞí Êã ÅÏÎÇáå ÃÚáÇå,,,,,,
select_multiple reasons_noaccess_dropped_school,reasons_noaccess_dropped_school,What are the most cited reasons for not regularly attending and/or dropping out of education services?  ,yes,,((${nb_children_male}+${nb_youth_male}+${nb_children_female}+${nb_youth_female}) - ${nb_children_attending}) >0,,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,ãÇ åí ÇáÃÓÈÇÈ ÇáÃßËÑ ÔíæÚğÇ áÚÏã ÍÖæÑ æ / Ãæ ÊÑß ÇáãÏÑÓÉ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,reasons_noaccess_dropped_school_other,"if other, please specify",yes,,"selected(${reasons_noaccess_dropped_school}, 'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
select_multiple nonformat_education,type_nonformal_education,Are the children in your household attending any kind of non- formal (completely out of the formal/informal school system) education?,yes,,${calcul_nb_under18} >0,,"not(selected(.,'none')) and not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,ªá ?ÒÇæá ÇáÃØİÇá İí ÃÓÑÊß Ãí äæÚ ãä ÃäæÇÚ ÇáÊÚá?ã Û?Ñ ÇáÑÓãí (ÊÚáíã áíÓ áå Çí ÚáÇŞÉ ÈÇáÊÚáíã ÇáÑÓãí) ¿,ÈÚÖ ÇáÎíÇÑÇÊ áÇ íãßä ÇÎÊíÇÑåÇ ãÚ ÎíÇÑÇÊ ÃÎÑì,,,,,
text,type_nonformal_education_other,"If other, specify",yes,,"selected(${type_nonformal_education}, 'other')",,,, ÃÎÑì (ÍÏÏ),,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,wash,WASH,yes,,,,,,"ÇáãÇÁ¡ ÇáäÙÇİÉ æÇáÕÑİ ÇáÕÍí",,,,,,
select_one water_source,water_source,What was the main source of drinking water used by members of this household over the past 30 days?,yes,,,quick,,,ãÇ åæ ÇáãÕÏÑ ÇáÑÆíÓí áãíÇå ÇáÔÑÈ ÇáÊí ÇÓÊÎÏãåÇ ÃİÑÇÏ åĞå ÇáÃÓÑÉ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,,,,,,
text,water_source_other,Other: ,yes,,"selected(${water_source},'other')",,,, ÃÎÑì,,,,,,
select_one distance_water_source,distance_water_source,Where is this drinking water source located?,yes,,"not(selected(${water_source},'dk'))",quick,,,Ãíä íŞÚ ãÕÏÑ ãíÇå ÇáÔÑÈ åĞÇ¿,,,,"If the household obtains water from elsewhere and brings it back, please give the location of the original water source","ÅĞÇ ÍÕáÊ ÇáÃÓÑÉ Úáì ÇáãíÇå ãä ãßÇä ÂÎÑ æÃÚÇÏÊåÇ ¡ íÑÌì ÅÚØÇÁ ãæŞÚ ãÕÏÑ ÇáãíÇå ÇáÃÕáí",
text,distance_water_source_other,"if other, please specify",yes,,"selected(${distance_water_source},'other')",,,,ÑÌÇÁ ÍÏÏ,,,,,,
select_one yes_no_dk_dwta,water_for_other_purpose,"Does your household use a different water source for other purposes, such hygiene?",yes,,,quick,,,"åá ÊÓÊÎÏã ÃÓÑÊß ãÕÏÑğÇ ãÎÊáİğÇ ááãíÇå áÃÛÑÇÖ ÃÎÑì ¡ ãËá ÇáäÙÇİÉ¿",,,,,,
select_one water_source,water_source_other_purpose,"If yes: What was the main source of water used by members of this household over the past 30 days for other purposes, such  hygiene?",yes,,"selected(${water_for_other_purpose},'yes')",quick,. != ${water_source},,"ÅĞÇ ßÇäÊ ÇáÅÌÇÈÉ äÚã: ãÇ åæ ÇáãÕÏÑ ÇáÑÆíÓí ááãíÇå ÇáĞí ÇÓÊÎÏãå ÃİÑÇÏ åĞå ÇáÃÓÑÉ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ áÃÛÑÇÖ ÃÎÑì ¡ ãËá áäÙÇİÉ¿",,,,,,
select_one yes_no_dk_dwta,unsufficient_drinking_water,"In the last month, has there been any time when your household did not have a sufficient quantity of drinking water?",yes,,,quick,,,"İí ÇáÔåÑ ÇáãÇÖí ¡ åá ßÇä åäÇß Ãí æŞÊ áã íßä áÏì ÃÓÑÊß ßãíÉ ßÇİíÉ ãä ãíÇå ÇáÔÑÈ¿",,,,,,
