type,name,label::English,required,default,relevant,appearance,constraint,constraint_message::English,label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
integer,nb_ind_hh,How many people live in your household ? (including the interviewee and hosted people economically dependent upon you),yes,,,,"if(selected(${HoH},'no'), . >= 2, .>=1)","Minimum 1 person, if the interviewee is not the HoH then Minimum 2 ",ßã ÚÏÏ ÇáÃİÑÇÏ ÇáĞíä íÚíÔæä İí ãäÒáß¿ ÈãÇ İí Ğáß ÇáÔÎÕ ÇáĞí ÃÌÑíÊ ãÚå ÇáãŞÇÈáÉ æÇáÃÔÎÇÕ ÇáãÓÊÖÇİíä ÇáĞíä íÚÊãÏæä Úáíß ÇŞÊÕÇÏíğÇ,"ÇáÚÏÏ ÇáÃÏäì åæ 1, ÅĞÇ ßÇä ÇáãÓÊÌæÈ áíÓ ÑÈ/ÑÈÉ ÇáÈíÊ İÇáÚÏÏ ÇáÃÏäì åæ 2  ",,,,"ÇáÃÓÑÉ: ""ãÌãæÚÉ ãä ÇáÃÔÎÇÕ ÇáĞíä íÚíÔæä ÚÇÏÉ ÊÍÊ ÓŞİ æÇÍÏ æíÊŞÇÓãæä äİÓ ÇáØÚÇã"". ÅĞÇ ßÇäÊ åäÇß ÚÇÆáíÊÇä ÊÚíÔÇä ÊÍÊ ÓŞİ æÇÍÏ¡ æ ßÇäÇ ãÑÊÈØíä ÇŞÊÕÇÏíğÇ ¡ İÓÊßæä åĞå ÇáÃÓÑÉ æÇÍÏÉ",
begin_group,hh_roster_male,Please tell me how many males there are of the following in your household ?,yes,,,field-list,,,ßã ÚÏÏ ÇáĞßæÑ İí ãÇ íáí İí ÃÓÑÊß ÈãÇ İí Ğáß ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå,,,,Write 0 if there are no individuals in a category,ÖÚ 0 Çä áã íßä åäÇß ÇİÑÇÏ İí ÇáİÆÉ ,
integer,nb_infants_male,Infants 0-5years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÑÖÚ (0 - 5 ÓäæÇÊ),,,,,,
integer,nb_children_male,Children 6-14 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÃØİÇá (6-14 ÓäÉ),,,,,,
integer,nb_youth_male,Youth 15-17 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÔÈÇÈ (15-17 ÓäÉ),,,,,,
integer,nb_adults_male,Adults 18-64:,yes,,,,"if((${age_HoH}<65 and selected(${sex_HoH} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an adult",ÇáßÈÇÑ (18 - 64 ÓäÉ),"áÇ íãßä Ãä íßæä ÕİÑÇğ ¡ ÑÈ ÇáÃÓÑÉ ÔÎÕ ÈÇáÛ",,,,,
integer,nb_elderly_male,Elderly 65+ years:,yes,,,,"if((${age_HoH}>=65 and selected(${sex_HoH} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an elderly",ßÈÇÑ ÇáÓä (65+ ÓäÉ ,"áÇ íãßä Ãä íßæä ÕİÑÇ ¡ ÑÈ ÇáÃÓÑÉ ãä ßÈÇÑ ÇáÓä",,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_nb_ind_hh_male,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male}+${nb_adults_male}+${nb_elderly_male},,,
calculate,calcul_nb_under18_male,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male},,,
calculate,calcul_nb_over18_male,,,,,,,,,,,${nb_adults_male}+${nb_elderly_male},,,
begin_group,hh_roster_female,Please tell me how many female there are of the following in your household ?,yes,,,field-list,,,ÃÑÌæ Ãä ÊÎÈÑäí ßã ÚÏÏ ãÇ íáí ãä ÇáÇäÇË İí ÃÓÑÊß¿,,,,Write 0 if there are no individuals in a category,ÖÚ 0 Çä áã íßä åäÇß ÇİÑÇÏ İí ÇáİÆÉ ,
integer,nb_infants_female,Infants 0-5years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÑÖÚ (0 - 5 ÓäæÇÊ),,,,,,
integer,nb_children_female,Children 6-14 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÃØİÇá (6-14 ÓäÉ),,,,,,
integer,nb_youth_female,Youth 15-17 years:,yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÔÈÇÈ (15-17 ÓäÉ),,,,,,
integer,nb_adults_female,Adults 18-64:,yes,,,,"if((${age_HoH}<65 and selected(${sex_HoH} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an adult",ÇáßÈÇÑ (18 - 64 ÓäÉ),"áÇ íãßä Ãä íßæä ÕİÑÇğ ¡ ÑÈ ÇáÃÓÑÉ ÔÎÕ ÈÇáÛ",,,,,
integer,nb_elderly_female,Elderly 65+ years:,yes,,,,"if((${age_HoH}>=65 and selected(${sex_HoH} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is an elderly",ßÈÇÑ ÇáÓä (65+ ÓäÉ ,"áÇ íãßä Ãä íßæä ÕİÑÇ ¡ ÑÈ ÇáÃÓÑÉ ãä ßÈÇÑ ÇáÓä",,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_nb_ind_hh_female,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female}+${nb_adults_female}+${nb_elderly_female},,,
calculate,calcul_nb_under18_female,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female},,,
calculate,calcul_nb_over18_female,,,,,,,,,,,${nb_adults_female}+${nb_elderly_female},,,
calculate,calcul_nb_ind_hh,,,,,,,,,,,${calcul_nb_ind_hh_female} + ${calcul_nb_ind_hh_male},,,
calculate,calcul_nb_under18,,,,,,,,,,,${calcul_nb_under18_female} + ${calcul_nb_under18_male},,,
calculate,calcul_nb_over18,,,,,,,,,,,${calcul_nb_over18_female} + ${calcul_nb_over18_male},,,
note,error,The total number of individuals mentioned here is not equal to the one you mentioned earlier ,yes,,${calcul_nb_ind_hh}!=${nb_ind_hh},,,,ÇáÚÏÏ ÇáÌãáí áÇİÑÇÏ ÇáãĞßæÑíä åäÇ áÇ íÓÇæí ÇáÚÏÏ ÇáĞí Êã ÇÏÎÇáå ÓÇÈŞÇğ  ,,,,,,
select_one yes_no,hosting_displaced,Are you currently hosting family members or others that have been displaced from another place in the mantika or Libya?,yes,,,quick,,,åá ÊÓÊÖíİ ÍÇáíÇ ÃİÑÇÏ ÇáÚÇÆáÉ Ãæ ÛíÑåã ããä äÒÍæÇ ãä ãßÇä ÂÎÑ ÏÇÎá äİÓ ÇáãäØŞÉ Çæ İí áíÈíÇ¿,,,,,,
integer,nb_displaced_hosted,"If yes, how many?",yes,,"selected(${hosting_displaced},'yes')",,. <= ${nb_ind_hh},number of hosted members can't exceed the total household members,"ÅĞÇ ßÇä ÇáÌæÇÈ äÚã¡ ßã ÇáÚÏÏ¿",áÇ íãßä Ãä íÊÌÇæÒ ÚÏÏ ÇáÃÔÎÇÕ ÇáãÓÊÖÇİíä ÅÌãÇáí ÃİÑÇÏ ÇáÃÓÑÉ,,,,,
integer,nb_minordisplaced_hosted,"If yes, how many hosted persons are under 18?",yes,,"selected(${hosting_displaced},'yes')",,(. <= ${calcul_nb_under18} and .<=${nb_displaced_hosted}) or .=99,number of under 18 hosted people can't exceed the number of total hosted people,"Çä ßÇä ÇáÌæÇÈ äÚã, ßã ÚÏÏ ÇáÇÔÎÇÕ ÇáãÓÊÖÇİæä ÊÍÊ Óä 18 ¿",áÇ íãßä Ãä íÊÌÇæÒ ÚÏÏ ÇáÃÔÎÇÕ ÇáĞíä ÊŞá ÃÚãÇÑåã Úä 18 ÚÇãğÇ ÚÏÏ ÇáÃÔÎÇÕ ÇáãÓÊÖÇİíä,,,Please put the number 99 if the interviewee did not want to answer,"Åä ßÇä ÇáãÓÊÌæÈ áÇ íÑíÏ ÇáÇÌÇÈÉ Úä åĞÇ ÇáÓÄÇá¡ ÖÚ ÇáÑŞã 99. ",
integer,nb_minor_unaccompanied,How many children in your household do not have any family relationship to any adult member of the household?,yes,,${nb_minordisplaced_hosted}>0,,.<=${nb_minordisplaced_hosted} or .=99,,ãÇ ÚÏÏ ÇáÃØİÇá İí ÃÓÑÊß ÇáĞíä áíÓ áÏíåã Ãí ÚáÇŞÉ ÚÇÆáíÉ ÈÃí İÑÏ ÈÇáÛ ãä ÃİÑÇÏ ÇáÃÓÑÉ¿,ÇáÚÏÏ ÇáĞí Êã ÇÏÎÇáå ÃßÈÑ ãä ÚÏÏ ÇáÃØİÇá Ïæä 18 ÓäÉ ÇáãÓÊÖÇİíä ,,,Please put the number 99 if the interviewee did not want to answer,"Åä ßÇä ÇáãÓÊÌæÈ áÇ íÑíÏ ÇáÇÌÇÈÉ Úä åĞÇ ÇáÓÄÇá¡ ÖÚ ÇáÑŞã 99. ",
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,food_security,Food Security,yes,,,,,,ÇáÃãä ÇáÛĞÇÆí,,,,,,
